Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦11,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3032821-fully-furnished-2-bedroom-flat
3 bedroom flat / apartment for rent,"Horizon 2, Ikate, Lekki, Lagos","₦10,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3073692-fully-furnished-serviced-3-bedroom-flat-with-excellent-facilities
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,500,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3054855-serviced-2-bedrooms-apartment-with-bq
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦4,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/2919837-furnished-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦5,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/2257201-2-bedroom-spacious-apartment
3 bedroom flat / apartment for rent,"Ikate Lekki Lagos, Ikate, Lekki, Lagos","₦13,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3309018-executive-newly-built-3-bedroom-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3308287-newly-built-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Off Freedom Way, Ikate, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3308265-spacious-and-newly-built-2-bedroom-apartment-with-bq
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦20,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3307995-furnished-2-bedroom-apartment-with-elevator-swimming-pool-and-gym
3 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦13,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3307696-luxury-and-spacious-3-bedroom-terrace-terrace-in-a-serviced-estate
