,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
2905,3 Bedroom Terrace Duplex,"Lagos Business School, Sangotedo, Ajah, Lagos","₦ 104,000,000",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/sangotedo/2818300-3-bedroom-terrace-duplex
2906,"Fully Fenced, Dry & Firm Regular Shaped 6 Plots Of Land","Very Close To The Expressway, Ibeju Lekki, Lagos","₦ 150,000,000",,N/A,N/A,Mixed-use land for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2907,60plots Of Land Facing The Beach,"Okun-Ajah, Ajah, Lagos","₦ 3,700,000,000",100 Parking Spaces,N/A,N/A,Mixed-use land for sale,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/ajah/okun-ajah/2807899-60plots-of-land-facing-the-beach
2908,Newly Renovated 3 Bedroom Flat,"Off Mobil Road, Ilaje, Ajah, Lagos","₦ 45,000,000",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/ilaje-ajah/2807349-newly-renovated-3-bedroom-flat
2909,2 Bedroom Ground Floor Apartment,"Metro And Castle Homes, Atlantic Layout Estate, Olokonla, Ajah, Lagos","₦ 70,000,000",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/olokonla/2803783-2-bedroom-ground-floor-apartment
2910,Beautiful Well Built 4 Bedroom Semi Detached Duplex With Bq,"GRA Phase 1, Magodo, Lagos","₦ 200,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/gra-phase-1/2592954-beautiful-well-built-4-bedroom-semi-detached-duplex-with-bq
2911,Deluxe Built 6 Bedrooms Fully Detached Duplex With Bq,"GRA Phase 2, Magodo, Lagos","₦ 500,000,000",6 Bedrooms,6 Bathrooms,7 Toilets,6 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-2/2615336-deluxe-built-6-bedrooms-fully-detached-duplex-with-bq
2912,Newly Built 4 Bedrooms Semi Detached Duplex With Bq,"Opebi, Ikeja, Lagos","₦ 350,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ikeja/opebi/2400074-newly-built-4-bedrooms-semi-detached-duplex-with-bq
2913,Brand New 4 Bedroom Detached  House With  Boys Quarter,"Olokonla, Ajah, Lagos","₦ 195,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2914,A Detached 5 Bedroom House With Bq,"Royal Garden Estate, Lekki, Lagos","₦ 400,000,000",5 Bedrooms,6 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2742180-a-detached-5-bedroom-house-with-bq
2915,Superlative Luxury 5 Bedroom Smart Home,"Ajah, Lagos","₦ 250,000,000",5 Bedrooms,6 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2729680-superlative-luxury-5-bedroom-smart-home
2916,Fully Furnished 4 Bedroom Semi Detached Duplex,"Okun Ajah, Ajah, Lagos","₦ 110,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/3302771-fully-furnished-4-bedroom-semi-detached-duplex
